,head,relation,tail,label
140,DB03010,CELL_DRUG,OVCAR-3,1
160,DB03010,CELL_DRUG,SK-OV-3,1
167,DB03010,CELL_DRUG,OVCAR-5,1
184,DB03010,CELL_DRUG,OVCAR-4,1
185,DB03010,CELL_DRUG,OVCAR-8,1
211,DB03010,CELL_DRUG,Caov-3,1
368,DB03010,CELL_DRUG,OC-314,1
412,DB03010,CELL_DRUG,SW626,1
440,DB03010,CELL_DRUG,OAW-42,1
497,DB03010,CELL_DRUG,EFO-21,1
532,DB03010,CELL_DRUG,OAW-28,1
541,DB03010,CELL_DRUG,Caov-4,1
611,DB03010,CELL_DRUG,OV-90,1
612,DB03010,CELL_DRUG,OVISE,1
613,DB03010,CELL_DRUG,OVMIU,1
684,DB03010,CELL_DRUG,OVTOKO,1
698,DB03010,CELL_DRUG,TOV-112D,1
827,DB03496,CELL_DRUG,Hey,1
968,DB06603,CELL_DRUG,OVCAR-3,1
984,DB06603,CELL_DRUG,SK-OV-3,1
990,DB06603,CELL_DRUG,OVCAR-5,1
996,DB06603,CELL_DRUG,OVCAR-8,1
1140,DB06603,CELL_DRUG,SW626,1
1251,DB06603,CELL_DRUG,FU-OV-1,1
1359,DB06603,CELL_DRUG,Hey,1
1360,DB06603,CELL_DRUG,OVCA420,1
1486,DB00570,CELL_DRUG,JHOS-2,1
1487,DB00570,CELL_DRUG,JHOS-4,1
1488,DB00570,CELL_DRUG,OV-7,1
1489,DB00570,CELL_DRUG,OVCA433,1
1624,DB01248,CELL_DRUG,JHOS-2,1
1625,DB01248,CELL_DRUG,JHOS-3,1
1626,DB01248,CELL_DRUG,JHOS-4,1
1627,DB01248,CELL_DRUG,OV-7,1
1628,DB01248,CELL_DRUG,OVCA433,1
1629,DB01248,CELL_DRUG,UWB1.289,1
1905,DB06287,CELL_DRUG,OV-90,1
1912,DB06287,CELL_DRUG,TOV-21G,1
1927,DB06287,CELL_DRUG,OVTOKO,1
1932,DB06287,CELL_DRUG,TOV-112D,1
1951,DB06287,CELL_DRUG,OV-56,1
1952,DB06287,CELL_DRUG,OVK-18,1
1991,DB06469,CELL_DRUG,TOV-21G,1
1999,DB06469,CELL_DRUG,DOV13,1
2069,DB05134,CELL_DRUG,OV-90,1
2072,DB05134,CELL_DRUG,TOV-21G,1
2083,DB05134,CELL_DRUG,DOV13,1
2084,DB05134,CELL_DRUG,Hey,1
2116,DB07101,CELL_DRUG,JHOS-2,1
2117,DB07101,CELL_DRUG,OVCA433,1
2182,DB12731,CELL_DRUG,JHOS-2,1
2220,DB08911,CELL_DRUG,JHOS-2,1
2221,DB08911,CELL_DRUG,JHOS-3,1
2222,DB08911,CELL_DRUG,OVCA433,1
2320,DB00997,CELL_DRUG,OC-314,1
2374,DB00997,CELL_DRUG,OVMIU,1
2376,DB00997,CELL_DRUG,TOV-21G,1
2390,DB00997,CELL_DRUG,Hey,1
2391,DB00997,CELL_DRUG,OVCA433,1
2475,DB00441,CELL_DRUG,JHOS-2,1
2476,DB00441,CELL_DRUG,JHOS-3,1
2477,DB00441,CELL_DRUG,JHOS-4,1
2478,DB00441,CELL_DRUG,OV-7,1
2479,DB00441,CELL_DRUG,OV-17R,1
2480,DB00441,CELL_DRUG,OVCA433,1
2562,DB04690,CELL_DRUG,OVCAR-8,1
2657,DB04690,CELL_DRUG,OC-314,1
2766,DB04690,CELL_DRUG,TOV-112D,1
2797,DB04690,CELL_DRUG,DOV13,1
2798,DB04690,CELL_DRUG,OVK-18,1
2875,DB00570,CELL_DRUG,OVCAR-3,1
2897,DB00570,CELL_DRUG,IGROV-1,1
2907,DB00570,CELL_DRUG,OVCAR-8,1
3042,DB00570,CELL_DRUG,OC-314,1
3187,DB00570,CELL_DRUG,OV-90,1
3188,DB00570,CELL_DRUG,OVMIU,1
3219,DB00570,CELL_DRUG,TOV-112D,1
3255,DB00570,CELL_DRUG,DOV13,1
3256,DB00570,CELL_DRUG,Hey,1
3435,DB01248,CELL_DRUG,OVCAR-3,1
3455,DB01248,CELL_DRUG,IGROV-1,1
3456,DB01248,CELL_DRUG,OVCAR-5,1
3466,DB01248,CELL_DRUG,OVCAR-8,1
3618,DB01248,CELL_DRUG,OC-314,1
3715,DB01248,CELL_DRUG,EFO-21,1
3743,DB01248,CELL_DRUG,OAW-28,1
3747,DB01248,CELL_DRUG,Caov-4,1
3807,DB01248,CELL_DRUG,OVISE,1
3808,DB01248,CELL_DRUG,OVMIU,1
3818,DB01248,CELL_DRUG,TOV-21G,1
3850,DB01248,CELL_DRUG,OVTOKO,1
3861,DB01248,CELL_DRUG,TOV-112D,1
3902,DB01248,CELL_DRUG,DOV13,1
3903,DB01248,CELL_DRUG,Hey,1
3904,DB01248,CELL_DRUG,PEO1,1
4024,DB02010,CELL_DRUG,IGROV-1,1
4033,DB02010,CELL_DRUG,OVCAR-8,1
4146,DB02010,CELL_DRUG,OC-314,1
4186,DB02010,CELL_DRUG,OAW-42,1
4273,DB02010,CELL_DRUG,TOV-21G,1
4331,DB02010,CELL_DRUG,DOV13,1
4332,DB02010,CELL_DRUG,Hey,1
4425,DB01254,CELL_DRUG,DOV13,1
4493,DB01229,CELL_DRUG,OVCAR-3,1
4509,DB01229,CELL_DRUG,IGROV-1,1
4517,DB01229,CELL_DRUG,OVCAR-8,1
4631,DB01229,CELL_DRUG,OC-314,1
4772,DB01229,CELL_DRUG,TOV-112D,1
4799,DB01229,CELL_DRUG,DOV13,1
4853,DB00877,CELL_DRUG,IGROV-1,1
5005,DB00877,CELL_DRUG,TOV-21G,1
5015,DB00877,CELL_DRUG,TOV-112D,1
5080,DB00441,CELL_DRUG,OVCAR-8,1
5150,DB00441,CELL_DRUG,OC-314,1
5224,DB00441,CELL_DRUG,TOV-112D,1
5248,DB00441,CELL_DRUG,DOV13,1
5249,DB00441,CELL_DRUG,Hey,1
5412,DB00188,CELL_DRUG,OVCAR-3,1
5429,DB00188,CELL_DRUG,SK-OV-3,1
5435,DB00188,CELL_DRUG,IGROV-1,1
5436,DB00188,CELL_DRUG,OVCAR-5,1
5449,DB00188,CELL_DRUG,OVCAR-4,1
5450,DB00188,CELL_DRUG,OVCAR-8,1
5623,DB00188,CELL_DRUG,OC-314,1
5662,DB00188,CELL_DRUG,SW626,1
5689,DB00188,CELL_DRUG,OAW-42,1
5768,DB00188,CELL_DRUG,OAW-28,1
5772,DB00188,CELL_DRUG,Caov-4,1
5801,DB00188,CELL_DRUG,FU-OV-1,1
5835,DB00188,CELL_DRUG,OV-90,1
5836,DB00188,CELL_DRUG,OVISE,1
5837,DB00188,CELL_DRUG,OVMIU,1
5849,DB00188,CELL_DRUG,TOV-21G,1
5890,DB00188,CELL_DRUG,OVTOKO,1
5902,DB00188,CELL_DRUG,TOV-112D,1
5940,DB00188,CELL_DRUG,DOV13,1
